DATE,Close
2017-09-12,"3,379.49"
2017-09-13,"3,384.15"
2017-09-14,"3,371.43"
2017-09-15,"3,353.62"
2017-09-18,"3,362.86"
2017-09-19,"3,356.84"
2017-09-20,"3,366.00"
2017-09-21,"3,357.81"
2017-09-22,"3,352.53"
2017-09-25,"3,341.55"
2017-09-26,"3,343.58"
2017-09-27,"3,345.27"
2017-09-28,"3,339.64"
2017-09-29,"3,348.94"
2017-10-09,"3,374.38"
2017-10-10,"3,382.99"
2017-10-11,"3,388.28"
2017-10-12,"3,386.10"
2017-10-13,"3,390.52"
2017-10-16,"3,378.47"
2017-10-17,"3,372.04"
2017-10-18,"3,381.79"
2017-10-19,"3,370.17"
2017-10-20,"3,378.65"
2017-10-23,"3,380.70"
2017-10-24,"3,388.25"
2017-10-25,"3,396.90"
2017-10-26,"3,407.57"
2017-10-27,"3,416.81"
2017-10-30,"3,390.34"
2017-10-31,"3,393.34"
2017-11-01,"3,395.91"
2017-11-02,"3,383.31"
2017-11-03,"3,371.74"
2017-11-06,"3,388.17"
2017-11-07,"3,413.57"
2017-11-08,"3,415.46"
2017-11-09,"3,427.79"
2017-11-10,"3,432.67"
2017-11-13,"3,447.84"
2017-11-14,"3,429.55"
2017-11-15,"3,402.52"
2017-11-16,"3,399.25"
2017-11-17,"3,382.91"
2017-11-20,"3,392.40"
2017-11-21,"3,410.50"
2017-11-22,"3,430.46"
2017-11-23,"3,351.92"
2017-11-24,"3,353.82"
2017-11-27,"3,322.23"
2017-11-28,"3,333.66"
2017-11-29,"3,337.86"
2017-11-30,"3,317.19"
2017-12-01,"3,317.62"
2017-12-04,"3,309.62"
2017-12-05,"3,303.68"
2017-12-06,"3,293.96"
2017-12-07,"3,272.05"
2017-12-08,"3,289.99"
2017-12-11,"3,322.20"
2017-12-12,"3,280.81"
2017-12-13,"3,303.04"
2017-12-14,"3,292.44"
2017-12-15,"3,266.14"
2017-12-18,"3,267.92"
2017-12-19,"3,296.54"
2017-12-20,"3,287.61"
2017-12-21,"3,300.06"
2017-12-22,"3,297.06"
2017-12-25,"3,280.46"
2017-12-26,"3,306.12"
2017-12-27,"3,275.78"
2017-12-28,"3,296.38"
2017-12-29,"3,307.17"
2018-01-02,"3,348.33"
2018-01-03,"3,369.11"
2018-01-04,"3,385.71"
2018-01-05,"3,391.75"
2018-01-08,"3,409.48"
2018-01-09,"3,413.90"
2018-01-10,"3,421.83"
2018-01-11,"3,425.34"
2018-01-12,"3,428.94"
2018-01-15,"3,410.49"
2018-01-16,"3,436.59"
2018-01-17,"3,444.67"
2018-01-18,"3,474.75"
2018-01-19,"3,487.86"
2018-01-22,"3,501.36"
2018-01-23,"3,546.50"
2018-01-24,"3,559.47"
2018-01-25,"3,548.31"
2018-01-26,"3,558.13"
2018-01-29,"3,523.00"
2018-01-30,"3,488.01"
2018-01-31,"3,480.83"
2018-02-01,"3,446.98"
2018-02-02,"3,462.08"
2018-02-05,"3,487.50"
2018-02-06,"3,370.65"
2018-02-07,"3,309.26"
2018-02-08,"3,262.05"
2018-02-09,"3,129.85"
2018-02-12,"3,154.13"
2018-02-13,"3,184.96"
2018-02-14,"3,199.16"
